num_of_run|moves_in_game|end|time
170|91|[0, 0, 0, 1, 1, 0]|2020-05-23 14:12:26.189351
171|61|[0, 0, 0, 1, 1, 1]|2020-05-23 14:12:26.757211
172|133|[1, 1, 0, 0, 0, 0]|2020-05-23 14:12:27.999222
173|102|[0, 0, 0, 1, 1, 0]|2020-05-23 14:12:29.062091
174|62|[0, 0, 0, 1, 0, 0]|2020-05-23 14:12:29.592965
175|47|[1, 1, 0, 0, 0, 0]|2020-05-23 14:12:29.988096
176|67|[1, 0, 0, 0, 0, 0]|2020-05-23 14:12:30.570521
177|168|[0, 0, 0, 1, 1, 1]|2020-05-23 14:12:32.279592
178|52|[1, 1, 0, 0, 0, 0]|2020-05-23 14:12:32.712309
179|48|[0, 0, 0, 1, 1, 0]|2020-05-23 14:12:33.100095
180|109|[0, 0, 0, 1, 0, 0]|2020-05-23 14:12:34.085199
181|102|[1, 1, 1, 0, 0, 0]|2020-05-23 14:12:35.028856
182|125|[0, 0, 0, 1, 0, 0]|2020-05-23 14:12:36.154608
183|87|[1, 0, 0, 0, 0, 0]|2020-05-23 14:12:36.847187
184|77|[1, 1, 0, 0, 0, 0]|2020-05-23 14:12:37.486303
185|129|[1, 0, 0, 0, 0, 0]|2020-05-23 14:12:38.637322
186|86|[1, 1, 0, 0, 0, 0]|2020-05-23 14:12:39.502942
187|87|[1, 0, 0, 0, 0, 0]|2020-05-23 14:12:40.291257
188|75|[1, 0, 0, 0, 0, 0]|2020-05-23 14:12:40.948609
189|120|[1, 0, 0, 0, 0, 0]|2020-05-23 14:12:41.958096
190|108|[1, 1, 1, 0, 0, 0]|2020-05-23 14:12:42.929507
191|134|[0, 0, 0, 1, 1, 0]|2020-05-23 14:12:44.165058
192|74|[1, 1, 1, 0, 0, 0]|2020-05-23 14:12:45.064106
193|76|[1, 1, 0, 0, 0, 0]|2020-05-23 14:12:45.861438
194|133|[0, 0, 0, 1, 1, 0]|2020-05-23 14:12:46.992170
195|114|[1, 1, 1, 0, 0, 0]|2020-05-23 14:12:48.149668
196|92|[1, 1, 1, 0, 0, 0]|2020-05-23 14:12:49.181327
197|91|[1, 1, 0, 0, 0, 0]|2020-05-23 14:12:50.048727
198|123|[1, 1, 1, 0, 0, 0]|2020-05-23 14:12:51.176175
199|53|[1, 1, 1, 0, 0, 0]|2020-05-23 14:12:51.656342
200|92|[1, 1, 0, 0, 0, 0]|2020-05-23 14:12:52.650141
201|47|[0, 0, 0, 1, 0, 0]|2020-05-23 14:12:53.070930
202|67|[1, 1, 0, 0, 0, 0]|2020-05-23 14:12:53.796322
203|66|[1, 0, 0, 0, 0, 0]|2020-05-23 14:12:54.413560
204|58|[1, 1, 1, 0, 0, 0]|2020-05-23 14:12:54.961708
205|102|[1, 1, 0, 0, 0, 0]|2020-05-23 14:12:55.988183
206|72|[1, 1, 1, 0, 0, 0]|2020-05-23 14:12:56.645044
207|74|[1, 1, 0, 0, 0, 0]|2020-05-23 14:12:57.421271
208|76|[1, 1, 1, 0, 0, 0]|2020-05-23 14:12:58.138749
209|145|[1, 0, 0, 0, 0, 0]|2020-05-23 14:12:59.601608
210|136|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:00.998564
211|200|[1, 1, 1, 0, 0, 0]|2020-05-23 14:13:02.913776
212|54|[1, 0, 0, 0, 0, 0]|2020-05-23 14:13:03.359323
213|47|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:03.729912
214|274|[1, 1, 1, 0, 0, 0]|2020-05-23 14:13:06.649550
215|65|[0, 0, 0, 1, 0, 0]|2020-05-23 14:13:07.209669
216|77|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:07.961234
217|85|[1, 1, 1, 0, 0, 0]|2020-05-23 14:13:09.138790
218|75|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:09.878894
219|63|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:10.644920
220|117|[1, 1, 1, 0, 0, 0]|2020-05-23 14:13:11.736129
221|94|[1, 1, 1, 0, 0, 0]|2020-05-23 14:13:12.613134
222|125|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:13.705909
223|51|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:14.244648
224|64|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:14.905816
225|79|[1, 1, 1, 0, 0, 0]|2020-05-23 14:13:15.607620
226|64|[1, 0, 0, 0, 0, 0]|2020-05-23 14:13:16.137798
227|135|[1, 1, 1, 0, 0, 0]|2020-05-23 14:13:17.271422
228|42|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:17.664308
229|97|[1, 1, 1, 0, 0, 0]|2020-05-23 14:13:18.551578
230|105|[1, 1, 1, 0, 0, 0]|2020-05-23 14:13:19.588466
231|78|[1, 1, 1, 0, 0, 0]|2020-05-23 14:13:20.236369
232|113|[0, 0, 0, 1, 0, 0]|2020-05-23 14:13:21.223051
233|130|[1, 0, 0, 0, 0, 0]|2020-05-23 14:13:22.257170
234|107|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:23.224939
235|112|[1, 1, 1, 0, 0, 0]|2020-05-23 14:13:24.164839
236|123|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:25.346043
237|57|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:25.838643
238|88|[1, 1, 1, 0, 0, 0]|2020-05-23 14:13:26.756646
239|154|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:28.293300
240|93|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:29.197308
241|65|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:29.853139
242|48|[1, 0, 0, 0, 0, 0]|2020-05-23 14:13:30.321635
243|67|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:31.005525
244|77|[1, 1, 1, 0, 0, 0]|2020-05-23 14:13:31.900284
245|54|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:32.440897
246|39|[1, 0, 0, 0, 0, 0]|2020-05-23 14:13:32.763320
247|70|[1, 0, 0, 0, 0, 0]|2020-05-23 14:13:33.413105
248|61|[1, 0, 0, 0, 0, 0]|2020-05-23 14:13:33.925674
249|172|[0, 0, 0, 1, 1, 0]|2020-05-23 14:13:35.671315
250|85|[0, 0, 0, 1, 1, 0]|2020-05-23 14:13:36.397676
251|116|[1, 0, 0, 0, 0, 0]|2020-05-23 14:13:37.364780
252|74|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:37.996125
253|215|[0, 0, 0, 1, 1, 1]|2020-05-23 14:13:40.043180
254|242|[1, 1, 1, 0, 0, 0]|2020-05-23 14:13:42.216909
255|63|[1, 0, 0, 0, 0, 0]|2020-05-23 14:13:42.736453
256|289|[1, 0, 0, 0, 0, 0]|2020-05-23 14:13:45.463575
257|137|[0, 0, 0, 1, 1, 1]|2020-05-23 14:13:46.858585
258|96|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:47.636270
259|70|[0, 0, 0, 1, 1, 0]|2020-05-23 14:13:48.297275
260|60|[1, 0, 0, 0, 0, 0]|2020-05-23 14:13:48.785751
261|78|[1, 1, 1, 0, 0, 0]|2020-05-23 14:13:49.441986
262|100|[1, 0, 0, 0, 0, 0]|2020-05-23 14:13:50.411822
263|60|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:50.956532
264|51|[0, 0, 0, 1, 0, 0]|2020-05-23 14:13:51.375042
265|82|[0, 0, 0, 1, 1, 0]|2020-05-23 14:13:52.157172
266|110|[0, 0, 0, 1, 1, 0]|2020-05-23 14:13:53.134533
267|107|[0, 0, 0, 1, 0, 0]|2020-05-23 14:13:54.052374
268|68|[1, 0, 0, 0, 0, 0]|2020-05-23 14:13:54.612794
269|59|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:55.157744
270|162|[0, 0, 0, 1, 1, 0]|2020-05-23 14:13:56.678587
271|54|[1, 0, 0, 0, 0, 0]|2020-05-23 14:13:57.164518
272|59|[1, 0, 0, 0, 0, 0]|2020-05-23 14:13:57.671117
273|93|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:58.479242
274|72|[0, 0, 0, 1, 1, 1]|2020-05-23 14:13:59.271635
275|70|[1, 1, 0, 0, 0, 0]|2020-05-23 14:13:59.900968
276|56|[1, 1, 1, 0, 0, 0]|2020-05-23 14:14:00.454771
277|119|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:01.518451
278|133|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:02.692804
279|128|[0, 0, 0, 1, 0, 0]|2020-05-23 14:14:03.788044
280|163|[0, 0, 0, 1, 0, 0]|2020-05-23 14:14:05.451552
281|70|[1, 1, 0, 0, 0, 0]|2020-05-23 14:14:06.057473
282|73|[1, 1, 0, 0, 0, 0]|2020-05-23 14:14:06.768946
283|70|[1, 1, 1, 0, 0, 0]|2020-05-23 14:14:07.343369
284|75|[1, 1, 1, 0, 0, 0]|2020-05-23 14:14:08.010754
285|59|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:08.518053
286|128|[1, 1, 0, 0, 0, 0]|2020-05-23 14:14:09.617980
287|48|[0, 0, 0, 1, 0, 0]|2020-05-23 14:14:10.021819
288|171|[0, 0, 0, 1, 1, 0]|2020-05-23 14:14:11.723651
289|52|[1, 1, 0, 0, 0, 0]|2020-05-23 14:14:12.159215
290|136|[0, 0, 0, 1, 1, 0]|2020-05-23 14:14:13.445197
291|51|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:13.886521
292|51|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:14.316561
293|80|[0, 0, 0, 1, 0, 0]|2020-05-23 14:14:15.103184
294|91|[0, 0, 0, 1, 0, 0]|2020-05-23 14:14:15.921329
295|66|[0, 0, 0, 1, 0, 0]|2020-05-23 14:14:16.430690
296|175|[0, 0, 0, 1, 1, 1]|2020-05-23 14:14:18.086514
297|81|[0, 0, 0, 1, 1, 0]|2020-05-23 14:14:18.787221
298|91|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:19.584218
299|192|[0, 0, 0, 1, 1, 0]|2020-05-23 14:14:21.406794
300|93|[0, 0, 0, 1, 1, 0]|2020-05-23 14:14:22.139396
301|54|[0, 0, 0, 1, 0, 0]|2020-05-23 14:14:22.618152
302|99|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:23.403850
303|93|[0, 0, 0, 1, 1, 0]|2020-05-23 14:14:24.280587
304|143|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:25.582009
305|85|[0, 0, 0, 1, 0, 0]|2020-05-23 14:14:26.308577
306|147|[1, 1, 1, 0, 0, 0]|2020-05-23 14:14:27.545371
307|177|[1, 1, 1, 0, 0, 0]|2020-05-23 14:14:29.292032
308|59|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:29.753664
309|151|[1, 1, 0, 0, 0, 0]|2020-05-23 14:14:31.102914
310|59|[1, 1, 0, 0, 0, 0]|2020-05-23 14:14:31.654762
311|46|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:31.999020
312|50|[1, 1, 0, 0, 0, 0]|2020-05-23 14:14:32.426294
313|64|[1, 1, 0, 0, 0, 0]|2020-05-23 14:14:32.943201
314|84|[1, 1, 1, 0, 0, 0]|2020-05-23 14:14:33.794767
315|47|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:34.167167
316|82|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:34.861608
317|52|[0, 0, 0, 1, 1, 0]|2020-05-23 14:14:35.664659
